"<b>Note: </b> if your store is behind a load balance use should use the forwarded mode.","<b>Note: </b> if your store is behind a load balance use should use the forwarded mode."
Action,Action
"Add after","Add after"
"Add Bot","Add Bot"
"Add Filter","Add Filter"
"Add Form ID","Add Form ID"
Advanced,Advanced
"Are you sure?","Are you sure?"
"Ban Length (days)","Ban Length (days)"
Bot,Bot
"Bot Blocker","Bot Blocker"
"Bot has been deleted","Bot has been deleted"
"Bot has been successfully saved","Bot has been successfully saved"
Bots,Bots
"Change status","Change status"
"Changing this will change your honeypot urls. It is useful to change this if you want to invalidate old urls due to change in settings or something similar.","Changing this will change your honeypot urls. It is useful to change this if you want to invalidate old urls due to change in settings or something similar."
Configuration,Configuration
Configure,Configure
"Default Status","Default Status"
Delete,Delete
Disabled,Disabled
Edit,Edit
Enabled,Enabled
"Expires At","Expires At"
Extendware,Extendware
"First Seen At","First Seen At"
"Form ID","Form ID"
"Form Protection","Form Protection"
"Form Protection Excluded Forms","Form Protection Excluded Forms"
"Form Protection Honeypotted Urls","Form Protection Honeypotted Urls"
"Forwarded IP (HTTP_X_FORWARDED)","Forwarded IP (HTTP_X_FORWARDED)"
General,General
"General Information","General Information"
"Honeypot Form","Honeypot Form"
"Honeypot Link","Honeypot Link"
"Honeypot Paths RegExp","Honeypot Paths RegExp"
ID,ID
"If disabled the bot will no longer be blocked. Useful for whitelisting the address.","If disabled the bot will no longer be blocked. Useful for whitelisting the address."
"If disabled, then no bot blocking will be performed.","If disabled, then no bot blocking will be performed."
"If enabled the bot will only be rejected if they send a POST request on a honey-potted url. With this enabled honey-potted links using ""nofollow"" attribute will not be outputted. Also, honey-potted form protection urls will only be placed on forms with a method of POST.","If enabled the bot will only be rejected if they send a POST request on a honey-potted url. With this enabled honey-potted links using ""nofollow"" attribute will not be outputted. Also, honey-potted form protection urls will only be placed on forms with a method of POST."
"If enabled the session will only check if it is a bot once per session.","If enabled the session will only check if it is a bot once per session."
"If enabled, then an invisible form will be added to the site. If a bot auto-submits this form, then it will be identified and banned.","If enabled, then an invisible form will be added to the site. If a bot auto-submits this form, then it will be identified and banned."
"If enabled, then an invisible link with the ""nofollow"" attribute set. If a bad bot follows it then it will be banned. Some good bots sometimes follow this so if you enable ensure that you have set ""/ewbb/"" in your robots.txt file to reduce this chance. Ensure ""Only Post"" option in Advanced section is set to disabled.","If enabled, then an invisible link with the ""nofollow"" attribute set. If a bad bot follows it then it will be banned. Some good bots sometimes follow this so if you enable ensure that you have set ""/ewbb/"" in your robots.txt file to reduce this chance. Ensure ""Only Post"" option in Advanced section is set to disabled."
"If enabled, then the ""action"" attribute of forms will be removed and added back with Javascript. This tricks bots as many will not know how to submit the form.","If enabled, then the ""action"" attribute of forms will be removed and added back with Javascript. This tricks bots as many will not know how to submit the form."
"If enabled, then the ""action"" attribute will be rewritten to a url that if it receives traffic the bot will be banned. Normal browsers with javascript will use the correct action url so users will not be affected. <b>Note: </b>Test each form after enabling and add any incompatible forms to the ""Form Protection Excluded Forms"" list.","If enabled, then the ""action"" attribute will be rewritten to a url that if it receives traffic the bot will be banned. Normal browsers with javascript will use the correct action url so users will not be affected. <b>Note: </b>Test each form after enabling and add any incompatible forms to the ""Form Protection Excluded Forms"" list."
"Improve Your Store","Improve Your Store"
"Input a form ID of a form if you want it to be ignored by the form protection.","Input a form ID of a form if you want it to be ignored by the form protection."
"IP Address","IP Address"
"IP Mode","IP Mode"
"Last Seen At","Last Seen At"
Main,Main
"Manage Bots","Manage Bots"
"Manage Extensions","Manage Extensions"
"Missing data for item","Missing data for item"
"Only Post","Only Post"
"Path Prefix","Path Prefix"
