id	title	description	link	image_link	brand	condition	availability	price	short_description	product_type	google_product_category	gender
785	Blue Ajrakh Gajji Silk Dupatta	blue ajrakh gajji silk dupatta with tussles	https://www.chidiyaa.com/blue-ajrakh-gajji-silk-dupatta.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_5334.jpg	Chidiyaa	new	out of stock	32.00 USD	Hand crafted in the deserts of Kuttch, this silk Ajrakh dupatta is a piece of art. The shapes and motifs of Ajrakh echo the architectural forms of Islamic architecture’s intricate jali windows and trefoil arches..			
786	Blue Ajrakh Gajji Silk Dupatta	blue ajrakh gajji silk dupatta with tussles	https://www.chidiyaa.com/blue-ajrakh-gajji-silk-dupatta-2236.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_5436.jpg	Chidiyaa	new	out of stock	32.00 USD	Hand crafted in the deserts of Kuttch, this silk Ajrakh dupatta is a piece of art. The shapes and motifs of Ajrakh echo the architectural forms of Islamic architecture’s intricate jali windows and trefoil arches..			
787	Yellow Ajrakh Gajji Silk Dupatta	yellow ajrakh gajji silk dupatta with tussles	https://www.chidiyaa.com/blue-ajrakh-gajji-silk-dupatta-2237.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_5347.jpg	Chidiyaa	new	in stock	32.00 USD	Hand crafted in the deserts of Kuttch, this silk Ajrakh dupatta is a piece of art. The shapes and motifs of Ajrakh echo the architectural forms of Islamic architecture’s intricate jali windows and trefoil arches..			
788	Green Ajrakh Gajji Silk Dupatta	green ajrakh gajji silk dupatta with tussles	https://www.chidiyaa.com/blue-ajrakh-gajji-silk-dupatta-2238.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_5363.jpg	Chidiyaa	new	out of stock	32.00 USD	Hand crafted in the deserts of Kuttch, this silk Ajrakh dupatta is a piece of art. The shapes and motifs of Ajrakh echo the architectural forms of Islamic architecture’s intricate jali windows and trefoil arches..			
789	Red Ajrakh Gajji Silk Dupatta	red ajrakh gajji silk dupatta with tussles	https://www.chidiyaa.com/blue-ajrakh-gajji-silk-dupatta-2239.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_5369.jpg	Chidiyaa	new	out of stock	32.00 USD	Hand crafted in the deserts of Kuttch, this silk Ajrakh dupatta is a piece of art. The shapes and motifs of Ajrakh echo the architectural forms of Islamic architecture’s intricate jali windows and trefoil arches..			
791	Yellow Ajrakh Gajji Silk Dupatta	yellow ajrakh gajji silk dupatta with tussles	https://www.chidiyaa.com/blue-ajrakh-gajji-silk-dupatta-2240.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_5396.jpg	Chidiyaa	new	out of stock	32.00 USD	Hand crafted in the deserts of Kuttch, this silk Ajrakh dupatta is a piece of art. The shapes and motifs of Ajrakh echo the architectural forms of Islamic architecture’s intricate jali windows and trefoil arches..			
792	White Ajrakh Gajji Silk Dupatta	White AJRAKH GAJJI SILK DUPATTA WITH TUSSLES	https://www.chidiyaa.com/blue-ajrakh-gajji-silk-dupatta-2241.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_5415.jpg	Chidiyaa	new	out of stock	32.00 USD	Hand crafted in the deserts of Kuttch, this silk Ajrakh dupatta is a piece of art. The shapes and motifs of Ajrakh echo the architectural forms of Islamic architecture’s intricate jali windows and trefoil arches..			
793	Red Ajrakh Gajji Silk Dupatta	red ajrakh gajji silk dupatta with tussles	https://www.chidiyaa.com/blue-ajrakh-gajji-silk-dupatta-2242.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_5484_2_.jpg	Chidiyaa	new	out of stock	32.00 USD	Hand crafted in the deserts of Kuttch, this silk Ajrakh dupatta is a piece of art. The shapes and motifs of Ajrakh echo the architectural forms of Islamic architecture’s intricate jali windows and trefoil arches..			
794	Musturd  Ajrakh Gajji Silk Dupatta	musturd ajrakh gajji silk dupatta with tussles	https://www.chidiyaa.com/blue-ajrakh-gajji-silk-dupatta-2243.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_5470.jpg	Chidiyaa	new	out of stock	32.00 USD	Hand crafted in the deserts of Kuttch, this silk Ajrakh dupatta is a piece of art. The shapes and motifs of Ajrakh echo the architectural forms of Islamic architecture’s intricate jali windows and trefoil arches..			
795	White Ajrakh Gajji Silk Dupatta	white ajrakh gajji silk dupatta with tussles	https://www.chidiyaa.com/blue-ajrakh-gajji-silk-dupatta-2244.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_5460.jpg	Chidiyaa	new	out of stock	32.00 USD	Hand crafted in the deserts of Kuttch, this silk Ajrakh dupatta is a piece of art. The shapes and motifs of Ajrakh echo the architectural forms of Islamic architecture’s intricate jali windows and trefoil arches..			
1437	Pink White Dabu Printed Tie-Up Waist Cotton Skirt Skirts	All our fabric is handmade and most of them are natural dyed, you may find certain irregularities in the print which only adds to the charm of our unique products. Since the products are natural dyed and extra color may bleed on first few washes	https://www.chidiyaa.com/pink-white-dabu-printed-tie-up-waist-cotton-skirt-skirts.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_7191_2_.jpg	Chidiyaa	new	out of stock	23.00 USD	100% cotton, This piece is made in handblock print from Jaipur	Ajrakh Love > Shop > Kurtis & Bottoms > Skirts & Pants		
1453	Indigo Bagru-Printed Tie-Up Waist Flared Cotton Palazzos	All our fabric is handmade and most of them are natural dyed, you may find certain irregularities in the print which only adds to the charm of our unique products. Since the products are natural dyed and extra color may bleed on first few washes	https://www.chidiyaa.com/indigo-bagru-printed-tie-up-waist-flared-cotton-palazzos.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_7080_2_.jpg	Chidiyaa	new	in stock	23.00 USD	100% cotton, This piece is made in handblock print from Bagru, dyed in natural Indigo	Ajrakh Love > Shop > Kurtis & Bottoms > Skirts & Pants | Ajrakh Love > True Blue		
